"095年08月31日 自營商買賣超彙總表"
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
="03879 ","永昌LK          ","263,000","235,000","28,000",
="04238 ","工銀LD          ","2,488,000","2,460,000","28,000",
="04073 ","元大AA          ","832,000","805,000","27,000",
"2351  ","順德            ","102,000","75,000","27,000",
"2548  ","華固            ","30,000","3,000","27,000",
"2816  ","旺旺保          ","27,000","0","27,000",
"2836  ","高雄銀          ","27,000","0","27,000",
="03811 ","兆豐A9          ","124,000","98,000","26,000",
="03857 ","元大83          ","84,000","58,000","26,000",
="04297 ","康和CP          ","445,000","419,000","26,000",
"2101  ","南港            ","38,000","12,000","26,000",
"2851  ","中再保          ","26,000","0","26,000",
="04057 ","大華B6          ","1,773,000","1,748,000","25,000",
="04166 ","大華MF          ","857,000","832,000","25,000",
="04182 ","群益BS          ","866,000","841,000","25,000",
="04202 ","元大BD          ","330,000","305,000","25,000",
"2833  ","台壽保          ","26,000","1,000","25,000",
"5534  ","長虹            ","26,000","1,000","25,000",
"2377  ","微星            ","25,000","784","24,216",
="04125 ","兆豐F8          ","1,560,000","1,536,000","24,000",
"1904  ","正隆            ","24,000","0","24,000",
="04042 ","日盛22          ","1,079,000","1,056,000","23,000",
="03864 ","永豐5E          ","181,000","159,000","22,000",
="04093 ","元富KS          ","1,314,000","1,292,000","22,000",
="04078 ","元大AF          ","930,000","909,000","21,000",
"1606  ","歌林            ","21,000","0","21,000",
"2511  ","太子            ","21,000","0","21,000",
"2526  ","大陸            ","21,000","0","21,000",
"1110  ","東泥            ","20,000","0","20,000",
"2614  ","東森            ","50,000","30,000","20,000",
"2015  ","豐興            ","20,000","760","19,240",
"9915  ","億豐            ","20,000","888","19,112",
="04121 ","群益57          ","1,549,000","1,530,000","19,000",
="04153 ","日盛28          ","588,000","569,000","19,000",
"1304  ","台聚            ","18,000","0","18,000",
"1447  ","力鵬            ","18,000","0","18,000",
"1455  ","集盛            ","18,000","0","18,000",
"2206  ","三陽工業        ","18,000","0","18,000",
"2854  ","寶來證          ","18,000","920","17,080",
="03872 ","大華LA          ","76,000","59,000","17,000",
="04065 ","大華LT          ","1,655,000","1,638,000","17,000",
="04291 ","元大BS          ","1,726,000","1,709,000","17,000",
="08002 ","寶來A5          ","198,000","181,000","17,000",
"2536  ","宏普            ","17,000","0","17,000",
"2831  ","中華銀          ","17,000","0","17,000",
"1312  ","國喬            ","16,000","0","16,000",
"6005  ","群益證          ","17,000","1,032","15,968",
="03838 ","工銀KH          ","45,000","30,000","15,000",
="03868 ","永豐5J          ","1,297,000","1,282,000","15,000",
"1103  ","嘉泥            ","15,000","0","15,000",
"1714  ","和桐            ","15,000","0","15,000",
"2103  ","台橡            ","15,000","0","15,000",
"2527  ","宏璟            ","15,000","0","15,000",
"2832  ","台產            ","15,000","0","15,000",
"1802  ","台玻            ","54,000","39,576","14,424",
"3051  ","力特            ","17,000","2,760","14,240",
"2856  ","元富證          ","16,000","1,816","14,184",
"1608  ","華榮            ","14,000","0","14,000",
"1702  ","南僑            ","14,000","0","14,000",
"1905  ","華紙            ","14,000","0","14,000",
"2850  ","新產            ","14,000","0","14,000",
"2852  ","第一保          ","14,000","0","14,000",
"2905  ","三商            ","14,000","0","14,000",
"2913  ","農林            ","14,000","0","14,000",
"2411  ","飛瑞            ","15,000","1,008","13,992",
"2328  ","廣宇            ","15,000","1,176","13,824",
="03862 ","富邦CC          ","398,000","385,000","13,000",
="03908 ","元富94          ","80,000","67,000","13,000",
="04081 ","國泰GB          ","1,002,000","989,000","13,000",
"1109  ","信大            ","13,000","0","13,000",
"1451  ","年興            ","13,000","0","13,000",
"2008  ","高興昌          ","13,000","0","13,000",
"2841  ","台開            ","13,000","0","13,000",
"5203  ","訊連            ","14,000","1,000","13,000",
"9933  ","中鼎            ","13,000","0","13,000",
"3035  ","智原            ","14,600","2,000","12,600",
"1104  ","環泥            ","12,000","0","12,000",
"1310  ","台苯            ","12,000","0","12,000",
"1416  ","廣豐            ","12,000","0","12,000",
"1463  ","強盛            ","12,000","0","12,000",
"1704  ","榮化            ","12,000","0","12,000",
"2010  ","春源            ","12,000","0","12,000",
"2360  ","致茂            ","12,000","0","12,000",
"2506  ","太設            ","12,000","0","12,000",
"9928  ","中視            ","12,000","0","12,000",
"1108  ","幸福            ","11,000","0","11,000",
"1219  ","福壽            ","11,000","0","11,000",
"1234  ","黑松            ","11,000","0","11,000",
"1305  ","華夏            ","11,000","0","11,000",
"1459  ","聯發            ","11,000","0","11,000",
"1460  ","宏遠            ","11,000","0","11,000",
"1513  ","中興電          ","11,000","0","11,000",
"1609  ","大亞            ","11,000","0","11,000",
"1712  ","興農            ","11,000","0","11,000",
"1909  ","榮成            ","11,000","0","11,000",
"2017  ","官田鋼          ","11,000","0","11,000",
"2022  ","聚亨            ","11,000","0","11,000",
"2514  ","龍邦            ","11,000","0","11,000",
"2906  ","高林            ","11,000","0","11,000",
"9908  ","大台北          ","11,000","0","11,000",
"9911  ","櫻花            ","11,000","0","11,000",
="03566 ","永豐3K          ","10,000","0","10,000",
="03818 ","兆豐B7          ","166,000","156,000","10,000",
="03856 ","元大82          ","10,000","0","10,000",
="04126 ","兆豐F9          ","606,000","596,000","10,000",
="04203 ","元大BE          ","1,033,000","1,023,000","10,000",
="04269 ","日盛37          ","1,791,000","1,781,000","10,000",
="04321P","國巨元大93售12  ","285,000","275,000","10,000",
"1507  ","永大            ","10,000","0","10,000",
"1517  ","利奇            ","10,000","0","10,000",
"2486  ","一詮            ","10,000","0","10,000",
"2608  ","嘉里大榮        ","10,000","0","10,000",
"8926  ","台汽電          ","10,000","0","10,000",
"9917  ","中保科          ","18,000","8,000","10,000",
"2855  ","統一證          ","11,000","1,624","9,376",
="03846 ","永豐5A          ","9,000","0","9,000",
="04002 ","凱基3N          ","650,000","641,000","9,000",
"1210  ","大成            ","9,000","0","9,000",
"1319  ","東陽            ","9,000","0","9,000",
"1810  ","和成            ","14,000","5,000","9,000",
"2106  ","建大            ","9,000","0","9,000",
"2603  ","長榮            ","67,000","58,000","9,000",
"2908  ","特力            ","9,000","0","9,000",
"9921  ","巨大            ","10,000","1,520","8,480",
="03865 ","永豐5F          ","690,000","682,000","8,000",
="03995 ","永豐5U          ","729,000","721,000","8,000",
="04117 ","永昌MC          ","1,690,000","1,682,000","8,000",
"1218  ","泰山            ","8,000","0","8,000",
"1227  ","佳格            ","8,000","0","8,000",
"1417  ","嘉裕            ","11,000","3,000","8,000",
"1701  ","中化            ","8,000","0","8,000",
"1711  ","永光            ","8,000","0","8,000",
"1713  ","國化            ","8,000","0","8,000",
"1806  ","冠軍            ","8,000","0","8,000",
"1902  ","台紙            ","8,000","0","8,000",
"2009  ","第一銅          ","8,000","0","8,000",
"2331  ","精英            ","10,000","2,000","8,000",
"2441  ","超豐            ","8,000","0","8,000",
"2520  ","冠德            ","12,000","4,000","8,000",
"2530  ","華建            ","8,000","0","8,000",
"2617  ","台航            ","8,000","0","8,000",
"2701  ","萬企            ","8,000","0","8,000",
"3406  ","玉晶光          ","8,000","0","8,000",
"9925  ","新保            ","8,000","0","8,000",
"9930  ","中聯資源        ","8,000","0","8,000",
="03901 ","統一CD          ","652,000","645,000","7,000",
="04218 ","永豐6X          ","975,000","968,000","7,000",
"1217  ","愛之味          ","7,000","0","7,000",
"1418  ","東華            ","7,000","0","7,000",
"1603  ","華電            ","7,000","0","7,000",
"1611  ","中電            ","8,000","1,000","7,000",
"1612  ","宏泰            ","7,000","0","7,000",
"1715  ","萬洲            ","7,000","0","7,000",
"1737  ","臺鹽            ","7,000","0","7,000",
"2028  ","威致            ","7,000","0","7,000",
"2029  ","盛餘            ","7,000","0","7,000",
"2102  ","泰豐            ","7,000","0","7,000",
"2364  ","倫飛            ","7,000","0","7,000",
"2547  ","日勝生          ","7,000","0","7,000",
"4532  ","瑞智            ","7,000","0","7,000",
"9905  ","大華            ","7,000","0","7,000",
="03975 ","元大90          ","893,000","887,000","6,000",
="04227 ","群益61          ","1,783,000","1,777,000","6,000",
"1220  ","台榮            ","6,000","0","6,000",
"1308  ","亞聚            ","6,000","0","6,000",
"1468  ","昶和            ","6,000","0","6,000",
"1476  ","儒鴻            ","6,000","0","6,000",
"1515  ","力山            ","6,000","0","6,000",
"1604  ","聲寶            ","6,000","0","6,000",
"1618  ","合機            ","8,000","2,000","6,000",
"1716  ","永信            ","6,000","0","6,000",
"1809  ","中釉            ","6,000","0","6,000",
"1906  ","寶隆            ","6,000","0","6,000",
"2108  ","南帝            ","6,000","0","6,000",
"2340  ","光磊            ","306,000","300,000","6,000",
"2505  ","國揚            ","6,000","0","6,000",
"2535  ","達欣工          ","6,000","0","6,000",
"2545  ","皇翔            ","6,000","0","6,000",
"2601  ","益航            ","6,000","0","6,000",
"2705  ","六福            ","6,000","0","6,000",
"5608  ","四維航          ","6,000","0","6,000",
"6285  ","啟碁            ","80,000","74,000","6,000",
"9935  ","慶豐富          ","6,000","0","6,000",
"9937  ","全國            ","6,000","0","6,000",
="03567 ","永豐3L          ","5,000","0","5,000",
="03909 ","統一CM          ","26,000","21,000","5,000",
="04033 ","永豐5X          ","477,000","472,000","5,000",
="04059 ","群益53          ","394,000","389,000","5,000",
="04061 ","大華LP          ","282,000","277,000","5,000",
="04119 ","群益55          ","275,000","270,000","5,000",
="04177 ","永豐6S          ","332,000","327,000","5,000",
"1215  ","卜蜂            ","5,000","0","5,000",
"1423  ","利華            ","5,000","0","5,000",
"1452  ","宏益            ","5,000","0","5,000",
"1474  ","弘裕            ","5,000","0","5,000",
"1519  ","華城            ","5,000","0","5,000",
"1522  ","堤維西          ","5,000","0","5,000",
"1903  ","士紙            ","5,000","0","5,000",
"2012  ","春雨            ","5,000","0","5,000",
"2013  ","中鋼構          ","5,000","0","5,000",
"2031  ","新光鋼          ","5,000","0","5,000",
"2381  ","華宇            ","5,000","0","5,000",
"2524  ","京城            ","5,000","0","5,000",
"8008  ","建興電          ","7,000","2,000","5,000",
"9940  ","信義            ","5,000","0","5,000",
"9941  ","裕融            ","5,000","0","5,000",
